Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:43:40 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
0, DESKTOP_A.png, 10, 0, AOI 0, 0, 10, 13, 13, 0.518, 1.837, 18.372, 8.000, 12, 3.500, 0.000, 
0, DESKTOP_A.png, 10.000, 1, AOI 1, 0.000, 10.000, 12, 13, 1.052, 1.101, 11.014, 4.167, 12, 1.917, 0.000, 
0, DESKTOP_A.png, 10.000, 2, AOI 2, 0.000, 10.000, 12, 13, 4.803, 0.492, 4.925, 2.333, 7, 1.571, 0.000, 
0, DESKTOP_A.png, 10.000, 3, AOI 3, 0.000, 10.000, 12, 13, 3.011, 0.548, 5.479, 2.500, 6, 1.667, 0.000, 
0, DESKTOP_A.png, 10.000, 4, AOI 4, 0.000, 10.000, 10, 13, 4.671, 0.946, 9.464, 3.200, 6, 1.333, 0.000, 
0, DESKTOP_A.png, 10.000, 5, AOI 5, 0.000, 10.000, 12, 13, 2.416, 0.554, 5.539, 3.333, 8, 2.875, 0.000, 
0, DESKTOP_A.png, 10.000, 6, AOI 6, 0.000, 10.000, 6, 13, 5.008, 0.439, 4.388, 2.667, 4, 2.000, 0.000, 
0, DESKTOP_A.png, 10.000, 7, AOI 7, 0.000, 10.000, 7, 13, 2.864, 0.274, 2.741, 2.000, 3, 2.667, 0.000, 
0, DESKTOP_A.png, 10.000, 8, AOI 8, 0.000, 10.000, 1, 13, 7.262, 0.074, 0.742, 1.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 9, AOI 9, 0.000, 10.000, 7, 13, 4.380, 0.258, 2.576, 1.714, 4, 1.250, 0.000, 
0, DESKTOP_A.png, 10.000, 10, AOI 10, 0.000, 10.000, 4, 13, 4.982, 0.010, 0.096, 1.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 11, AOI 11, 0.000, 10.000, 8, 13, 5.320, 0.643, 6.432, 3.375, 6, 3.333, 0.000, 
0, DESKTOP_A.png, 10.000, 96, AOI 0, 0.000, 10.000, 13, 13, 0.518, 1.837, 18.372, 8.000, 12, 3.500, 0.000, 
0, DESKTOP_A.png, 10.000, 97, AOI 1, 0.000, 10.000, 12, 13, 1.052, 1.101, 11.014, 4.167, 12, 1.917, 0.000, 
0, DESKTOP_A.png, 10.000, 98, AOI 2, 0.000, 10.000, 12, 13, 4.803, 0.492, 4.925, 2.333, 7, 1.571, 0.000, 
0, DESKTOP_A.png, 10.000, 99, AOI 3, 0.000, 10.000, 12, 13, 3.011, 0.548, 5.479, 2.500, 6, 1.667, 0.000, 
0, DESKTOP_A.png, 10.000, 100, AOI 4, 0.000, 10.000, 10, 13, 4.671, 0.946, 9.464, 3.200, 6, 1.333, 0.000, 
0, DESKTOP_A.png, 10.000, 101, AOI 5, 0.000, 10.000, 12, 13, 2.416, 0.554, 5.539, 3.333, 8, 2.875, 0.000, 
0, DESKTOP_A.png, 10.000, 102, AOI 6, 0.000, 10.000, 6, 13, 5.008, 0.439, 4.388, 2.667, 4, 2.000, 0.000, 
0, DESKTOP_A.png, 10.000, 103, AOI 7, 0.000, 10.000, 7, 13, 2.864, 0.274, 2.741, 2.000, 3, 2.667, 0.000, 
0, DESKTOP_A.png, 10.000, 104, AOI 8, 0.000, 10.000, 1, 13, 7.262, 0.074, 0.742, 1.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 105, AOI 9, 0.000, 10.000, 7, 13, 4.380, 0.258, 2.576, 1.714, 4, 1.250, 0.000, 
0, DESKTOP_A.png, 10.000, 106, AOI 10, 0.000, 10.000, 4, 13, 4.982, 0.010, 0.096, 1.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 107, AOI 11, 0.000, 10.000, 8, 13, 5.320, 0.643, 6.432, 3.375, 6, 3.333, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 14, AOI 12, 0.000, 10.000, 11, 13, 1.505, 0.850, 8.503, 5.091, 11, 3.273, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 15, AOI 13, 0.000, 10.000, 13, 13, 1.517, 2.764, 27.643, 9.538, 13, 4.154, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 16, AOI 16, 0.000, 10.000, 12, 13, 3.754, 0.987, 9.873, 4.583, 10, 3.200, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 17, AOI 17, 0.000, 10.000, 7, 13, 4.559, 0.814, 8.141, 2.286, 3, 2.333, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 18, AOI 18, 0.000, 0.000, 0, 13, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
