Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:44:35 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
0, DESKTOP_A.png, 10, 0, AOI 0, 0, 10, 12, 12, 1.032, 1.580, 15.800, 6.667, 11, 3.000, 0.000, 
0, DESKTOP_A.png, 10.000, 1, AOI 1, 0.000, 10.000, 12, 12, 0.625, 1.735, 17.354, 5.833, 11, 1.909, 0.000, 
0, DESKTOP_A.png, 10.000, 2, AOI 2, 0.000, 10.000, 7, 12, 4.516, 1.079, 10.785, 3.429, 6, 1.167, 0.000, 
0, DESKTOP_A.png, 10.000, 3, AOI 3, 0.000, 10.000, 12, 12, 3.716, 0.903, 9.033, 2.750, 4, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 4, AOI 4, 0.000, 10.000, 10, 12, 5.734, 0.942, 9.424, 2.600, 3, 1.667, 0.000, 
0, DESKTOP_A.png, 10.000, 5, AOI 5, 0.000, 10.000, 10, 12, 3.302, 0.398, 3.981, 3.100, 6, 2.500, 0.000, 
0, DESKTOP_A.png, 10.000, 6, AOI 6, 0.000, 10.000, 2, 12, 8.084, 0.600, 5.999, 2.500, 1, 2.000, 0.000, 
0, DESKTOP_A.png, 10.000, 7, AOI 7, 0.000, 10.000, 7, 12, 2.154, 0.228, 2.280, 1.714, 2, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 8, AOI 8, 0.000, 10.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 9, AOI 9, 0.000, 10.000, 4, 12, 4.641, 0.201, 2.012, 1.750, 3, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 10, AOI 10, 0.000, 10.000, 2, 12, 8.402, 0.123, 1.233, 1.500, 1, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 11, AOI 11, 0.000, 10.000, 11, 12, 3.674, 0.713, 7.125, 3.000, 6, 2.833, 0.000, 
0, DESKTOP_A.png, 10.000, 96, AOI 0, 0.000, 10.000, 12, 12, 1.032, 1.580, 15.800, 6.667, 11, 3.000, 0.000, 
0, DESKTOP_A.png, 10.000, 97, AOI 1, 0.000, 10.000, 12, 12, 0.625, 1.735, 17.354, 5.833, 11, 1.909, 0.000, 
0, DESKTOP_A.png, 10.000, 98, AOI 2, 0.000, 10.000, 7, 12, 4.516, 1.079, 10.785, 3.429, 6, 1.167, 0.000, 
0, DESKTOP_A.png, 10.000, 99, AOI 3, 0.000, 10.000, 12, 12, 3.716, 0.903, 9.033, 2.750, 4, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 100, AOI 4, 0.000, 10.000, 10, 12, 5.734, 0.942, 9.424, 2.600, 3, 1.667, 0.000, 
0, DESKTOP_A.png, 10.000, 101, AOI 5, 0.000, 10.000, 10, 12, 3.302, 0.398, 3.981, 3.100, 6, 2.500, 0.000, 
0, DESKTOP_A.png, 10.000, 102, AOI 6, 0.000, 10.000, 2, 12, 8.084, 0.600, 5.999, 2.500, 1, 2.000, 0.000, 
0, DESKTOP_A.png, 10.000, 103, AOI 7, 0.000, 10.000, 7, 12, 2.154, 0.228, 2.280, 1.714, 2, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 104, AOI 8, 0.000, 10.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
0, DESKTOP_A.png, 10.000, 105, AOI 9, 0.000, 10.000, 4, 12, 4.641, 0.201, 2.012, 1.750, 3, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 106, AOI 10, 0.000, 10.000, 2, 12, 8.402, 0.123, 1.233, 1.500, 1, 1.000, 0.000, 
0, DESKTOP_A.png, 10.000, 107, AOI 11, 0.000, 10.000, 11, 12, 3.674, 0.713, 7.125, 3.000, 6, 2.833, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 14, AOI 12, 0.000, 10.000, 11, 12, 1.725, 0.812, 8.125, 3.727, 10, 2.700, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 15, AOI 13, 0.000, 10.000, 12, 12, 0.491, 3.341, 33.406, 11.250, 11, 4.909, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 16, AOI 16, 0.000, 10.000, 12, 12, 3.883, 1.487, 14.870, 5.833, 11, 3.818, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 17, AOI 17, 0.000, 10.000, 10, 12, 5.612, 0.401, 4.012, 2.300, 7, 1.714, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 18, AOI 18, 0.000, 0.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 19, AOI 19, 0.000, 10.000, 11, 12, 1.930, 0.756, 7.555, 3.636, 7, 3.143, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 108, AOI 12, 0.000, 10.000, 11, 12, 1.725, 0.812, 8.125, 3.727, 10, 2.700, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 109, AOI 13, 0.000, 10.000, 12, 12, 0.491, 3.341, 33.406, 11.250, 11, 4.909, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 110, AOI 16, 0.000, 10.000, 12, 12, 3.883, 1.487, 14.870, 5.833, 11, 3.818, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 111, AOI 17, 0.000, 10.000, 10, 12, 5.612, 0.401, 4.012, 2.300, 7, 1.714, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 112, AOI 18, 0.000, 0.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
1, ILLUM_14_03_24_A.png, 10.000, 113, AOI 19, 0.000, 10.000, 11, 12, 1.930, 0.756, 7.555, 3.636, 7, 3.143, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 20, AOI 20, 0.000, 10.000, 6, 12, 4.565, 0.310, 3.097, 1.167, 1, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 21, AOI 21, 0.000, 10.000, 9, 12, 5.150, 0.306, 3.063, 1.889, 4, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 22, AOI 22, 10.000, 0.000, 1, 12, 10.005, 0.000, 0.000, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 23, AOI 23, 0.000, 10.000, 10, 12, 1.666, 0.598, 5.976, 3.100, 6, 2.667, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 24, AOI 24, 0.000, 10.000, 8, 12, 1.650, 0.273, 2.729, 1.625, 2, 2.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 25, AOI 25, 0.000, 10.000, 9, 12, 1.656, 0.368, 3.684, 2.222, 2, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 26, AOI 26, 0.000, 10.000, 3, 12, 4.501, 0.345, 3.449, 1.667, 1, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 27, AOI 27, 0.000, 10.000, 1, 12, 4.436, 0.000, 0.000, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 28, AOI 28, 0.000, 10.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 29, AOI 29, 0.000, 10.000, 12, 12, 1.907, 1.268, 12.684, 5.500, 12, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 30, AOI 30, 0.000, 10.000, 10, 12, 2.545, 1.294, 12.940, 5.200, 8, 3.250, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 31, AOI 31, 0.000, 10.000, 8, 12, 3.312, 0.571, 5.713, 3.000, 6, 2.167, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 32, AOI 32, 0.000, 10.000, 1, 12, 0.345, 0.148, 1.484, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 114, AOI 20, 0.000, 10.000, 6, 12, 4.565, 0.310, 3.097, 1.167, 1, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 115, AOI 21, 0.000, 10.000, 9, 12, 5.150, 0.306, 3.063, 1.889, 4, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 116, AOI 22, 10.000, 0.000, 1, 12, 10.005, 0.000, 0.000, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 117, AOI 23, 0.000, 10.000, 10, 12, 1.666, 0.598, 5.976, 3.100, 6, 2.667, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 118, AOI 24, 0.000, 10.000, 8, 12, 1.650, 0.273, 2.729, 1.625, 2, 2.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 119, AOI 25, 0.000, 10.000, 9, 12, 1.656, 0.368, 3.684, 2.222, 2, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 120, AOI 26, 0.000, 10.000, 3, 12, 4.501, 0.345, 3.449, 1.667, 1, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 121, AOI 27, 0.000, 10.000, 1, 12, 4.436, 0.000, 0.000, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 122, AOI 28, 0.000, 10.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 123, AOI 29, 0.000, 10.000, 12, 12, 1.907, 1.268, 12.684, 5.500, 12, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 124, AOI 30, 0.000, 10.000, 10, 12, 2.545, 1.294, 12.940, 5.200, 8, 3.250, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 125, AOI 31, 0.000, 10.000, 8, 12, 3.312, 0.571, 5.713, 3.000, 6, 2.167, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 126, AOI 32, 0.000, 10.000, 1, 12, 0.345, 0.148, 1.484, 1.000, 0, 0.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 184, AOI 184, 0.000, 10.000, 6, 12, 1.903, 0.279, 2.792, 2.000, 4, 2.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 185, AOI 185, 0.000, 10.000, 12, 12, 0.502, 3.076, 30.763, 10.917, 10, 2.700, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 186, AOI 186, 0.000, 10.000, 11, 12, 5.580, 0.953, 9.528, 3.364, 8, 1.750, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 187, AOI 187, 0.000, 10.000, 9, 12, 4.868, 0.624, 6.243, 3.444, 7, 2.429, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 188, AOI 188, 0.000, 10.000, 9, 12, 4.032, 0.698, 6.976, 3.000, 6, 2.167, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 189, AOI 189, 0.000, 10.000, 6, 12, 5.419, 0.512, 5.120, 2.000, 2, 2.500, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 190, AOI 190, 0.000, 10.000, 11, 12, 3.499, 1.088, 10.878, 3.455, 4, 1.750, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 191, AOI 191, 0.000, 10.000, 11, 12, 4.049, 0.780, 7.798, 3.000, 6, 1.333, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 192, AOI 192, 0.000, 10.000, 11, 12, 1.471, 0.769, 7.690, 3.818, 9, 2.222, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 193, AOI 193, 0.000, 10.000, 7, 12, 2.531, 0.368, 3.684, 1.571, 3, 1.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 194, AOI 194, 0.000, 10.000, 1, 12, 0.083, 0.263, 2.627, 1.000, 0, 0.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 195, AOI 195, 0.000, 10.000, 1, 12, 6.522, 0.476, 4.761, 2.000, 0, 0.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 196, AOI 196, 0.000, 10.000, 9, 12, 3.768, 0.590, 5.898, 2.556, 6, 2.333, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 197, AOI 197, 0.000, 10.000, 11, 12, 2.096, 0.721, 7.210, 3.000, 8, 1.875, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 198, AOI 198, 0.000, 10.000, 12, 12, 0.427, 3.448, 34.475, 11.917, 12, 4.417, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 199, AOI 199, 0.000, 10.000, 12, 12, 3.139, 2.561, 25.608, 8.750, 12, 3.833, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 200, AOI 200, 0.000, 0.000, 0, 12, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 207, AOI 207, 0.000, 10.000, 11, 12, 6.619, 0.556, 5.555, 2.000, 7, 1.286, 0.000, 
5, MOBILE_A.png, 10.000, 144, AOI 50, 0.000, 10.000, 12, 12, 3.254, 0.958, 9.577, 5.167, 8, 5.125, 0.000, 
5, MOBILE_A.png, 10.000, 145, AOI 51, 0.000, 10.000, 12, 12, 2.649, 1.877, 18.774, 7.333, 11, 4.182, 0.000, 
5, MOBILE_A.png, 10.000, 146, AOI 52, 0.000, 10.000, 8, 12, 5.537, 0.908, 9.081, 3.125, 5, 2.000, 0.000, 
5, MOBILE_A.png, 10.000, 147, AOI 53, 0.000, 10.000, 6, 12, 6.432, 0.755, 7.553, 2.500, 2, 1.000, 0.000, 
5, MOBILE_A.png, 10.000, 148, AOI 54, 0.000, 10.000, 1, 12, 7.639, 0.821, 8.213, 2.000, 1, 1.000, 0.000, 
5, MOBILE_A.png, 10.000, 149, AOI 55, 0.000, 10.000, 6, 12, 6.399, 0.256, 2.556, 2.000, 2, 3.500, 0.000, 
5, MOBILE_A.png, 10.000, 208, AOI 208, 0.000, 10.000, 11, 12, 1.108, 0.781, 7.810, 3.909, 9, 2.889, 0.000, 
5, MOBILE_A.png, 10.000, 209, AOI 209, 0.000, 10.000, 12, 12, 1.710, 0.919, 9.185, 4.083, 11, 3.182, 0.000, 
5, MOBILE_A.png, 10.000, 210, AOI 210, 0.000, 10.000, 12, 12, 1.530, 0.975, 9.752, 4.417, 11, 3.364, 0.000, 
