Image,PID,Group,Age,Gender,ClickX,ClickY,Click
7,310,B,21,Female,569,745,"(569, 745)"
7,133,B,55,Male,728,1111,"(728, 1111)"
7,27,B,34,Female,131,370,"(131, 370)"
7,328,B,24,Female,92,1361,"(92, 1361)"
7,270,B,20,Male,170,1039,"(170, 1039)"
7,135,B,31,Female,692,642,"(692, 642)"
7,70,B,19,Male,377,1377,"(377, 1377)"
7,37,B,55,Female,412,1121,"(412, 1121)"
7,33,B,53,Female,604,722,"(604, 722)"
7,316,B,19,Female,545,918,"(545, 918)"
7,78,B,32,Female,1004,105,"(1004, 105)"
7,127,B,37,Female,585,787,"(585, 787)"
7,263,B,35,Male,365,803,"(365, 803)"
7,23,B,23,Male,816,1481,"(816, 1481)"
7,210,B,48,Male,219,410,"(219, 410)"
7,172,B,56,Female,480,1028,"(480, 1028)"
7,68,B,36,Female,135,1655,"(135, 1655)"
7,359,B,19,Female,555,655,"(555, 655)"
7,198,B,31,Female,590,819,"(590, 819)"
7,79,B,41,Female,399,1110,"(399, 1110)"
7,259,B,57,Male,577,1062,"(577, 1062)"
7,227,B,50,Female,456,1087,"(456, 1087)"
7,254,B,39,Female,890,561,"(890, 561)"
7,138,B,22,Male,554,606,"(554, 606)"
7,142,B,65,Female,543,1055,"(543, 1055)"
7,275,B,46,Male,519,752,"(519, 752)"
7,250,B,67,Female,416,1210,"(416, 1210)"
7,147,B,50,Female,388,1118,"(388, 1118)"
7,214,B,29,Female,477,1106,"(477, 1106)"
7,129,B,43,Female,170,776,"(170, 776)"
7,9,B,40,Male,763,1404,"(763, 1404)"
7,281,B,48,Female,534,530,"(534, 530)"
7,132,B,41,Female,784,841,"(784, 841)"
7,206,B,52,Female,547,668,"(547, 668)"
7,358,B,18,Female,212,1018,"(212, 1018)"
7,258,B,23,Male,168,389,"(168, 389)"
7,12,B,36,Male,979,109,"(979, 109)"
7,368,B,19,Female,541,583,"(541, 583)"
7,278,B,23,Male,540,795,"(540, 795)"
7,153,B,49,Female,230,1032,"(230, 1032)"
7,229,B,51,Female,207,1029,"(207, 1029)"
7,279,B,20,Male,125,1373,"(125, 1373)"
7,158,B,52,Female,769,1219,"(769, 1219)"
7,245,B,50,Female,223,997,"(223, 997)"
7,289,B,20,Male,824,760,"(824, 760)"
7,268,B,55,Female,345,1875,"(345, 1875)"
7,288,B,23,Female,535,648,"(535, 648)"
7,273,B,33,Male,338,468,"(338, 468)"
7,61,B,24,Female,849,1134,"(849, 1134)"
7,283,B,28,Female,483,1069,"(483, 1069)"
7,195,B,54,Female,456,633,"(456, 633)"
7,22,B,21,Male,235,661,"(235, 661)"
7,336,B,19,Female,543,904,"(543, 904)"
7,84,B,47,Female,73,1349,"(73, 1349)"
7,103,B,27,Male,356,1115,"(356, 1115)"
7,13,B,32,Female,773,748,"(773, 748)"
7,174,B,42,Male,255,1083,"(255, 1083)"
7,296,B,23,Male,191,1381,"(191, 1381)"
7,272,B,56,Female,525,1039,"(525, 1039)"
7,186,B,37,Male,451,635,"(451, 635)"
7,3,B,27,Male,319,821,"(319, 821)"
7,363,B,21,Male,286,376,"(286, 376)"
7,276,B,37,Male,192,721,"(192, 721)"
7,85,B,52,Male,747,1125,"(747, 1125)"
7,211,B,53,Female,717,1255,"(717, 1255)"
7,267,B,32,Male,504,1408,"(504, 1408)"
7,19,B,52,Female,547,963,"(547, 963)"
7,304,B,19,Female,354,975,"(354, 975)"
7,313,B,21,Female,534,812,"(534, 812)"
7,120,B,53,Female,400,1132,"(400, 1132)"
7,108,B,34,Female,190,1020,"(190, 1020)"
7,216,B,28,Female,880,617,"(880, 617)"
7,244,B,53,Female,223,361,"(223, 361)"
7,188,B,56,Male,653,1093,"(653, 1093)"
7,24,B,41,Male,702,1011,"(702, 1011)"
7,322,B,19,Female,515,631,"(515, 631)"
7,139,B,19,Male,546,662,"(546, 662)"
7,126,B,39,Female,616,480,"(616, 480)"
7,76,B,30,Male,354,1033,"(354, 1033)"
7,357,B,31,Female,417,1026,"(417, 1026)"
7,209,B,42,Female,546,718,"(546, 718)"
7,28,B,30,Male,527,650,"(527, 650)"
7,364,B,19,Female,547,641,"(547, 641)"
7,146,B,21,Male,223,1110,"(223, 1110)"
7,112,B,47,Female,377,1797,"(377, 1797)"
7,118,B,51,Female,813,1139,"(813, 1139)"
7,347,B,18,Female,573,976,"(573, 976)"
7,321,B,18,Female,132,1350,"(132, 1350)"
7,277,B,46,Male,540,821,"(540, 821)"
7,340,B,18,Female,573,670,"(573, 670)"
7,31,B,54,Male,553,653,"(553, 653)"
7,207,B,32,Male,562,569,"(562, 569)"
7,7,B,20,Male,449,657,"(449, 657)"
7,249,B,54,Female,466,642,"(466, 642)"
7,48,B,42,Female,385,595,"(385, 595)"
7,157,B,44,Female,170,1011,"(170, 1011)"
7,264,B,38,Female,142,761,"(142, 761)"
7,154,B,44,Female,241,342,"(241, 342)"
7,95,B,23,Male,191,390,"(191, 390)"
7,365,B,18,Male,499,718,"(499, 718)"
7,149,B,43,Female,165,1028,"(165, 1028)"
7,255,B,81,Female,240,346,"(240, 346)"
7,256,B,53,Female,512,1083,"(512, 1083)"
7,248,B,39,Female,481,1100,"(481, 1100)"
7,88,B,32,Male,608,1134,"(608, 1134)"
7,337,B,18,Female,227,1265,"(227, 1265)"
7,333,B,24,Male,1314,500,"(1314, 500)"
7,73,B,61,Female,551,698,"(551, 698)"
7,269,B,27,Male,467,1020,"(467, 1020)"
7,178,B,39,Female,96,1005,"(96, 1005)"
7,136,B,57,Male,220,392,"(220, 392)"
7,243,B,54,Female,535,1076,"(535, 1076)"
7,320,B,19,Female,219,607,"(219, 607)"
7,265,B,66,Female,650,1127,"(650, 1127)"
7,111,B,44,Male,577,552,"(577, 552)"
7,238,B,50,Female,447,813,"(447, 813)"
7,62,B,51,Female,483,1094,"(483, 1094)"
7,159,B,36,Male,538,702,"(538, 702)"
7,344,B,18,Female,585,506,"(585, 506)"
7,205,B,54,Female,638,660,"(638, 660)"
7,291,B,20,Male,568,785,"(568, 785)"
7,47,B,21,Male,587,1011,"(587, 1011)"
7,240,B,17,Female,482,1104,"(482, 1104)"
7,221,B,51,Female,566,614,"(566, 614)"
7,251,B,49,Female,154,1041,"(154, 1041)"
7,260,B,57,Female,546,740,"(546, 740)"
7,81,B,33,Female,206,373,"(206, 373)"
7,236,B,37,Female,420,1149,"(420, 1149)"
7,252,B,52,Female,726,681,"(726, 681)"
7,20,B,56,Female,437,1376,"(437, 1376)"
7,54,B,53,Female,820,662,"(820, 662)"
7,215,B,37,Female,376,1691,"(376, 1691)"
7,301,B,19,Male,301,1371,"(301, 1371)"
7,194,B,57,Female,1019,1871,"(1019, 1871)"
