Image,F (x),p (x),F (y),p (y)
0.0,1.2357,0.268,0.3437,0.5585
1.0,0.1678,0.6826,1.8698,0.1734
2.0,0.0007,0.9782,0.0297,0.8633
3.0,0.2612,0.61,0.4009,0.5275
4.0,0.4255,0.5152,0.8063,0.3706
5.0,0.695,0.4057,0.6318,0.4279
6.0,0.0583,0.8096,1.7125,0.1925
7.0,1.7331,0.1899,0.9395,0.3339
8.0,1.1954,0.2759,0.1456,0.7033
9.0,2.0459,0.1545,1.6352,0.2028
10.0,0.7122,0.4,0.3529,0.5533
11.0,0.6157,0.4338,0.7897,0.3755
12.0,0.0242,0.8766,1.1431,0.2866
13.0,0.3257,0.5691,0.0001,0.9903
14.0,0.6724,0.4135,0.4273,0.5143
15.0,0.2628,0.6089,0.0008,0.9776
16.0,0.0301,0.8625,0.0391,0.8436
17.0,0.4401,0.508,0.1894,0.664
18.0,0.0289,0.8652,1.5307,0.2179
19.0,3.6383,0.0583,0.4662,0.4958
